Block/Sandwich ID,,184,232,224,201,204,199,6,7,19,27,31,35,110,111,109,73,64,113,139,133,138,156,158,159,83,164,174,170,171,172,183,184,186,180,182,187
Months Post-Eruption,,Pre-Eruption,Pre-Eruption,Pre-Eruption,Pre-Eruption,Pre-Eruption,Pre-Eruption,9,9,9,11,11,11,22,22,22,22,22,22,33,33,33,96,96,96,106,106,106,106,106,106,135,135,135,135,135,135
Temperature,,2,NA,2.5,2.35,2,2,2.2,2.2,6.5,3.3,3.3,3.7,5.8,2.9,2.3,2.4,2.1,2,2.3,4.2,2.9,3.1,2.6,NA,2.6,2.6,2.7,1.9,2.1,1.9,2,2,2,2,2,2
Bathymargarites symplector,urn:lsid:marinespecies.org:taxname:536893,4,8,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,0,2,3,1,0,3,0,1,4,1,2,0,2
Clypeosectus delectus,urn:lsid:marinespecies.org:taxname:449949,0,0,0,34,15,8,4,0,0,3,6,1,8,10,31,19,9,5,0,0,45,14,17,31,4,5,3,0,7,3,0,0,0,2,0,0
Ctenopelta porifera,urn:lsid:marinespecies.org:taxname:449950,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyathermia naticoides,urn:lsid:marinespecies.org:taxname:449951,0,0,0,0,0,0,0,0,1,2,0,1,3,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Eulepetopsis vitrea,urn:lsid:marinespecies.org:taxname:449958,13,28,1,14,2,0,2,0,0,0,0,1,12,14,6,8,3,2,2,1,8,97,104,11,16,16,16,3,12,2,0,0,1,1,0,0
Gorgoleptis emarginatus,urn:lsid:marinespecies.org:taxname:449959,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gorgoleptis spiralis,urn:lsid:marinespecies.org:taxname:449961,0,0,0,0,0,0,2,1,0,1,4,3,16,27,28,13,4,8,0,0,30,3,2,1,1,2,1,0,0,1,0,0,0,0,0,0
Helicoradomenia acredema,urn:lsid:marinespecies.org:taxname:395235,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,0,0,3,0,0,1,1,0,0,0
Laeviphitus sp.,urn:lsid:marinespecies.org:taxname:137922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lepetodrilus cristatus,urn:lsid:marinespecies.org:taxname:449970,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lepetodrilus elevatus,urn:lsid:marinespecies.org:taxname:449971,1,26,0,9,0,0,0,0,2,0,0,0,0,0,15,14,0,1,392,667,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
