TRAIT,MODALITY
MAXIMUM ADULT BODY SIZE,Small (~1mm)
MAXIMUM ADULT BODY SIZE,Medium (~10mm)
MAXIMUM ADULT BODY SIZE,Large (~100mm)
MAXIMUM ADULT BODY SIZE,Very large (~1000mm)
HABITAT COMPLEXITY,Does not add complexity
HABITAT COMPLEXITY,Mat forming (<10 cm)
HABITAT COMPLEXITY,Bed forming (>10 cm)
HABITAT COMPLEXITY,Open bush forming
HABITAT COMPLEXITY,Dense bush forming
TROPHIC MODE,Symbiont
TROPHIC MODE,Bacterivore
TROPHIC MODE,Detritivore
TROPHIC MODE,Carnivore S
TROPHIC MODE,Carnivore O
FEEDING METHOD,Non-feeding
FEEDING METHOD,Deposit feeder
FEEDING METHOD,Suspension feeder
FEEDING METHOD,Deposit feeder/Suspension feeder
FEEDING METHOD,Deposit feeder/Predator
FEEDING METHOD,Suspension feeder/Predator
FEEDING METHOD,Predator
FEEDING METHOD,Parasite or commensal
RELATIVE ADULT MOBILITY,Sessile
RELATIVE ADULT MOBILITY,Movement restricted
RELATIVE ADULT MOBILITY,Crawler
RELATIVE ADULT MOBILITY,Freely mobile
EXTERNAL PROTECTION,Soft bodied
EXTERNAL PROTECTION,Moderately protected
EXTERNAL PROTECTION,Well protected
LARVAL DEVELOPMENT,Lecithotrophic
LARVAL DEVELOPMENT,Planktotrophic
LARVAL DEVELOPMENT,Brooding
LARVAL DEVELOPMENT,Direct
REPRODUCTIVE TYPE,Gonochoristic
REPRODUCTIVE TYPE,Hermaphroditic
REPRODUCTIVE TYPE,Asexual
FUNCTIONAL GUILD,I
FUNCTIONAL GUILD,A
FUNCTIONAL GUILD,B
FUNCTIONAL GUILD,C
FUNCTIONAL GUILD,D
FUNCTIONAL GUILD,F
FUNCTIONAL GUILD,H
FUNCTIONAL GUILD,K
FUNCTIONAL GUILD,L
FUNCTIONAL GUILD,E
FUNCTIONAL GUILD,G
FUNCTIONAL GUILD,J
