TRAIT,MODALITY,DATA TYPE,DEFINITION,CITATION
MAXIMUM ADULT BODY SIZE,Small (~1mm),Ordered Categorical,"An estimate of the maximum size the species reaches in adulthood (along the largest dimension). Measurements are categorical. Measured lengths of species categorized by rounding to the nearest estimate value. For example, a measurement of 55mm is grouped with Large (~100mm) and a measurement of 45mm is grouped with Medium (~10mm)",sFDvent Database  https://doi.org/10.1111/geb.12975
MAXIMUM ADULT BODY SIZE,Medium (~10mm),Ordered Categorical,"An estimate of the maximum size the species reaches in adulthood (along the largest dimension). Measurements are categorical. Measured lengths of species categorized by rounding to the nearest estimate value. For example, a measurement of 55mm is grouped with Large (~100mm) and a measurement of 45mm is grouped with Medium (~10mm)",sFDvent Database  https://doi.org/10.1111/geb.12975
MAXIMUM ADULT BODY SIZE,Large (~100mm),Ordered Categorical,"An estimate of the maximum size the species reaches in adulthood (along the largest dimension). Measurements are categorical. Measured lengths of species categorized by rounding to the nearest estimate value. For example, a measurement of 55mm is grouped with Large (~100mm) and a measurement of 45mm is grouped with Medium (~10mm)",sFDvent Database  https://doi.org/10.1111/geb.12975
MAXIMUM ADULT BODY SIZE,Very large (~1000mm),Ordered Categorical,"An estimate of the maximum size the species reaches in adulthood (along the largest dimension). Measurements are categorical. Measured lengths of species categorized by rounding to the nearest estimate value. For example, a measurement of 55mm is grouped with Large (~100mm) and a measurement of 45mm is grouped with Medium (~10mm)",sFDvent Database  https://doi.org/10.1111/geb.12975
HABITAT COMPLEXITY,Does not add complexity,Categorical,"This species does not form habitat structure, and is not a foundation species. This trait is similar to the “Habitat modification” trait presented in: Marine Species Traits editorial board (2017) http://www.marinespecies.org/traits/about.php",sFDvent Database  https://doi.org/10.1111/geb.12975
HABITAT COMPLEXITY,Mat forming (<10 cm),Categorical,"This species forms mat-like habitat, less than 10 centimeters in height or depth, and flat in appearance. We consider species with this modality to be a foundation species. This trait is similar to the “Habitat modification” trait presented in: Marine Species Traits Editorial Board (2017) http://www.marinespecies.org/traits/about.php",sFDvent Database  https://doi.org/10.1111/geb.12975
HABITAT COMPLEXITY,Bed forming (>10 cm),Categorical,"This species forms bed-like habitat, which is higher or deeper than 10 centimeters, and more undulated in appearance than mat. We consider species with this modality to be a foundation species. This trait is similar to the “Habitat modification” trait presented in: Marine Species Traits Editorial Board (2017) http://www.marinespecies.org/traits/about.php",sFDvent Database  https://doi.org/10.1111/geb.12975
HABITAT COMPLEXITY,Open bush forming,Categorical,"This species forms a more open, penetrable habitat with a bush-like appearance.  We consider species with this modality to be a foundation species. This trait is similar to the “Habitat modification” trait presented in: Marine Species Traits Editorial Board (2017) http://www.marinespecies.org/traits/about.php",sFDvent Database  https://doi.org/10.1111/geb.12975
HABITAT COMPLEXITY,Dense bush forming,Categorical,"This species forms a dense, bush-like habitat that would be difficult to penetrate or observe fauna living within.  We consider species with this modality to be a foundation species. This trait is similar to the “Habitat modification” trait presented in Marine Species Traits Editorial Board (2017) http://www.marinespecies.org/traits/about.php",sFDvent Database  https://doi.org/10.1111/geb.12975
TROPHIC MODE,Symbiont,Ordered Categorical,"This species hosts primary producers. Similar to “Invertebrates with External/Internal symbionts” category from Govenar, B. (2012) Energy transfer through food webs at hydrothermal vents: Linking the
lithosphere to the biosphere. Oceanography 25(1):246–255; also similar to the “Primary Producers” category from Gaudron et al. (2012) Spatial and temporal variations in food web structure from newly-opened habitat at hydrothermal vents. Marine Environmental Research 77:129–140",sFDvent Database  https://doi.org/10.1111/geb.12975
TROPHIC MODE,Bacterivore,Ordered Categorical,This species feeds on bacteria,sFDvent Database  https://doi.org/10.1111/geb.12975
TROPHIC MODE,Detritivore,Ordered Categorical,"This species feeds on fragmented organic matter (detritus); Lincoln, R., Boxshall, G. & Clark, P., (1998) A dictionary of ecology, evolution and systematics (2nd ed.). Cambridge: Cambridge University of Press",sFDvent Database  https://doi.org/10.1111/geb.12975
TROPHIC MODE,Carnivore S (Scavenger),Ordered Categorical,This species feeds on dead organic material,sFDvent Database  https://doi.org/10.1111/geb.12975
TROPHIC MODE,Carnivore O (Other),Ordered Categorical,This species feeds on animal tissue,sFDvent Database  https://doi.org/10.1111/geb.12975
